issue_id,issue_description,affected_fields,severity,affected_row_count,affected_pct,analytical_impact,proposed_treatment,applied_treatment,status,notes
DQ001,Product description is entirely missing in the source dataset.,product_description,Low,180519,1.0,"No impact on KPI analysis because product name, category, and department are available.",Exclude from processed analytical dataset.,Excluded from processed analytical dataset.,Resolved,
DQ002,Order zipcode has high missingness.,order_zipcode,Medium,155679,0.8623967560201419,"Limits postal-code analysis; market, region, country, state, and city remain usable.",Do not impute; exclude postal-code-level analysis.,Postal-code-level analysis excluded.,Accepted limitation,
DQ003,Sensitive customer fields are present in raw data.,"customer_email, customer_password, customer_street, customer_fname, customer_lname",High,180519,1.0,Not needed for portfolio analytics and inappropriate for published processed data.,Remove from processed analytical files.,Removed from processed analytical files.,Resolved,
DQ004,Full duplicate rows.,all fields,Low,0,0.0,Duplicate full rows would inflate item-level metrics if present.,Retain records unless duplicates are found; investigate if nonzero.,No row deletion applied.,Checked,
DQ005,Duplicate order item identifiers.,order_item_id,High,0,0.0,Duplicate item keys would invalidate order-item grain.,Validate uniqueness and stop if duplicates affect grain.,Validated during pipeline; no deletion applied.,Checked,
DQ006,Order identifier repeats because the main dataset is order-item grain.,order_id,Informational,114767,0.6357613326021083,Order-level KPIs require distinct-order logic to avoid double counting.,Calculate delivery and cancellation KPIs at order grain.,Order-level helper table created for KPIs.,Governed,
DQ007,Negative profit values indicate loss-making transactions.,"benefit_per_order, order_profit_per_order",Informational,33784,0.18714927514555255,Represents valid business losses; not a data error.,Retain and analyze as profitability risk.,Retained.,Accepted business signal,
DQ008,Shipping date occurs before order date.,"order_date, shipping_date",High,0,0.0,Impossible date relationship would distort shipping duration KPIs.,Flag and investigate.,Checked; records retained only if valid.,Checked,
DQ009,Late delivery flag disagrees with positive shipping delay.,"late_delivery_risk, shipping_delay_days",Medium,4423,0.024501576011389383,Could create inconsistent late-rate calculations.,"Use source late flag for headline late-rate, keep delay days as operational duration.",Documented source semantic mismatch if any.,Documented,
DQ010,Discount rate outside expected 0-1 range.,order_item_discount_rate,Medium,0,0.0,Invalid discount rates could distort net sales checks.,Flag and exclude invalid discount-rate interpretation if present.,Checked; no row deletion applied.,Checked,
DQ011,Non-positive sales or item totals.,"sales, order_item_total",Medium,0,0.0,Would affect revenue and margin calculations.,Flag and investigate; retain if source business status supports it.,Checked; no row deletion applied.,Checked,
DQ012,Missing parsed order or shipping dates.,"order_date, shipping_date",High,0,0.0,Would block time-series and shipping-duration analysis.,Parse source date fields and flag failures.,Parsed with pandas; failures documented.,Checked,
